,index,0,1,2
319,515,this is so pure I thrive on girl love httpstcoEdVo6gSQqM,😑,0.0
321,517,Im Not The Best But Ill Make You Fall In Love,😑,0.0
323,519,notnickrob i love u but get a haircut pls,😑,0.0
324,520,RT alyciaskendrick if clexa broke up but lexa wasnt killed off Id still watch the show I love lexa more than I love the ship,😑,0.0
325,521,RT LenaKrestina Thank u for 6 years Love you Harry_Styles NiallOfficial Louis_Tomlinson Real_Liam_Payne 6YearsOfOneDirection https,😑,0.0
326,522,RT Maddie_Jaymes hanngillespie love you bb,😑,0.0
328,526, httpstcop9Tmf7t0ZS,😑,0.0
329,528,RT Louis_Tomlinson OfficialMelB howiemandel nbcagt dont get defensive haha  thank you love  Hope you and the kids are good  x,😑,0.0
330,529,I love it when natalienn3 is awake as late as I am youre so cool I luv u,😑,0.0
331,530,WHAT DO YOU MEAN WHAT IS THIS HARRY EXPLAIN httpstcoxLzURpJXR4,😑,0.0
332,531,RT xperfectlypay Dangerously In Love  by Beyonce httpstcoVRUL2qtSC3,😑,0.0
333,532,Rise up and follow your dreams  truth wisdom poetry life inspiration spirituality love meditation httpstco9aOy7RWEJT,😑,0.0
334,533,I love closing until 3 and then opening at 9 the next day,😑,0.0
335,534,RT cinemapayyan The very first time I met Suriya_offl sir as a skool kid Always an encouraging heart warming munodi Love you bro http,😑,0.0
336,535,RT curlyyp I love to repeat my mistakes,😑,0.0
337,536,RT weekndcurls 6 years of giving me smiles tears laughs and just a whole lot of love amp support thank you  6YearsOfOneDirection https,😑,0.0
339,539,RT POWVirtualRun Thanks for the kind comments about our websiteWe love it Not seen it yet Visit httpstcoLNv9iKEETS ukrunchat htt,😑,0.0
342,542,Love yo nigga mane no matter what his occupation Fuck them skezzy ass hoes you his ole lady,😑,0.0
343,543,RT NineDoodles People who are not seen as conventionially attractive are still lovely Humans come in all shapes and forms and all deserv,😑,0.0
344,545,RT FemaleTexts I can already tell Im going to love this Disney film httpstcoEb6NPd0dSJ,😑,0.0
346,547,RT TheSlyStallone Flashback to the desert Love doing this stuff but it was a little crazy httpstcoJj3JnHmQA9,😑,0.0
347,549,why you always got some shit to say huh,😑,0.0
348,550,RT softlovehes happy 6 years to the best people who have infinitely changed my life Harry_Styles NiallOfficial Louis_Tomlinson Real_L,😑,0.0
349,551,I hate that i love you,😑,0.0
350,552,RT Alhamdhulillaah May Allah make us among the Ummah that love each other for the sake of Allah,😑,0.0
351,553,CarrollBailie katrina_9901 I love horses,😑,0.0
352,555,I played Bravely Second I really love this rpg game,😑,0.0
354,557,Do you believe in love  Yeessssss httpstcozNF7vlCGWe,😑,0.0
355,558,Awesome taste in music Ive seen these bands a few times in my lifetime httpstcog4hffunX3b,😑,0.0
356,560,onedirection OneDirection httpstcoSlKVv96jje,😑,0.0
357,561,RT thehomielina i love when people flex on twitter calm down bitch i know u in real life,😑,0.0
359,564,RT aprilkepners I love you I love you all the time every minute of every day I love you httpstco3Ce7Y9YzAk,😑,0.0
360,568,RT fuegostreetwear Love these outfits httpstcok9zxMdbVlT,😑,0.0
362,570,love u mom  httpstconHmW1WyTZe,😑,0.0
